year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2019,4.8488679,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2026,7.5411115,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2013,15.464702,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2022,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2020,4.122005,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2025,2.4548326,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2013,3.2688367,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2019,8.1053686,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2022,3.95,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2021,-6.7468739,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2010,-6.3751345,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2020,0,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2005,43.413902,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2013,.71174467,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2026,2.4374804,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2016,1.9794827,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2012,4.5480819,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2018,1.6341957,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2022,55.788914,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2007,11.066359,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2018,1.1892282,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2016,-2.1423028,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2009,23.357536,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2012,137.0424,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
